2,2,2,2,2,2,2;-2,-7,14,-7,1;19,24,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;15,113,575,2171,6581,16955,38613,79885,153091,275661,471395,771863,1217945,1861511,2767241,4014585,5699863,7938505,10867431,14647571,19466525,25541363,33121565,42492101,53976651,67940965,84796363,105003375,129075521,157583231,191157905,230496113,276363935,329601441,391127311,461943595,543140613,635901995,741509861,861350141,996918035,1149823613,1321797555,1514697031,1730511721,1971369975,2239545113,2537461865,2867702951,3233015801,3636319415,4080711363,4569474925,5106086371,5694222381,6337767605,7040822363,7807710485,8642987291,9551447711,10538134545,11608346863,12767648545,14021876961,15377151791,16839883985,18416784863,20114875355,21941495381,23904313371,26011335925,28270917613,30691770915,33282976301,36053992451,39014666615,42175245113,45546383975,49139159721,52965080281,57036096055,61364611113,65963494535,70846091891,76026236861,81518262995,87337015613,93497863845,100016712811,106910015941,114194787435,121888614863,130009671905,138576731231,147609177521,157127020625,167150908863,177702142465,188802687151,200475187851
3,3,2,2,2,2,2;-4,-10,6,17,-2,-8,1;19,25,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,139,727,2771,8431,21757,49589,102637,196741,354311,605947,992239,1565747,2393161,3557641,5161337,7328089,10206307,13972031,18832171,25027927,32838389,42584317,54632101,69397901,87351967,109023139,135003527,165953371,202606081,245773457,296351089,355323937,423772091,502876711,593926147,698322239,817586797,953368261,1107448541,1281750037,1478342839,1699452107,1947465631,2224941571,2534616377,2879412889,3262448617,3687044201,4156732051,4675265167,5246626139,5875036327,6564965221,7321139981,8148555157,9052482589,10038481487,11112408691,12280429111,13549026347,14925013489,16415544097,18028123361,19770619441,21651274987,23678718839,25861977907,28210489231,30734112221,33443141077,36348317389,39460842917,42792392551,46355127451,50161708367,54225309139,58559630377,63178913321,68097953881,73332116857,78897350339,84810200287,91087825291,97748011511,104809187797,112290440989,120211531397,128592908461,137455726591,146821861187,156713924839,167155283707,178170074081,189783219121,202020445777,214908301889,228474173467,242746302151,257753802851
3,3,2,2,2,2,2;-5,-2,15,-8,1;19,24,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,139,727,2771,8431,21757,49589,102637,196741,354311,605947,992239,1565747,2393161,3557641,5161337,7328089,10206307,13972031,18832171,25027927,32838389,42584317,54632101,69397901,87351967,109023139,135003527,165953371,202606081,245773457,296351089,355323937,423772091,502876711,593926147,698322239,817586797,953368261,1107448541,1281750037,1478342839,1699452107,1947465631,2224941571,2534616377,2879412889,3262448617,3687044201,4156732051,4675265167,5246626139,5875036327,6564965221,7321139981,8148555157,9052482589,10038481487,11112408691,12280429111,13549026347,14925013489,16415544097,18028123361,19770619441,21651274987,23678718839,25861977907,28210489231,30734112221,33443141077,36348317389,39460842917,42792392551,46355127451,50161708367,54225309139,58559630377,63178913321,68097953881,73332116857,78897350339,84810200287,91087825291,97748011511,104809187797,112290440989,120211531397,128592908461,137455726591,146821861187,156713924839,167155283707,178170074081,189783219121,202020445777,214908301889,228474173467,242746302151,257753802851
3,3,2,2,2,2,2;-8,15,-8,1;3,44,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,139,715,2687,8095,20749,47069,97093,185653,333719,569911,932179,1469651,2244649,3334873,4835753,6862969,9555139,13076675,17620807,23412775,30713189,39821557,51079981,64877021,81651727,101897839,126168155,155079067,189315265,229634609,276873169,331950433,395874683,469748539,554774671,652261679,763630141,890418829,1034291093,1197041413,1380602119,1587050279,1818614755,2077683427,2366810585,2688724489,3046335097,3442741961,3881242291,4365339187,4898750039,5485415095,6129506197,6835435685,7607865469,8451716269,9372177023,10374714463,11465082859,12649333931,13933826929,15325238881,16830575009,18457179313,20212745323,22105327019,24143349919,26335622335,28691346797,31220131645,33932002789,36837415637,39947267191,43272908311,46826156147,50619306739,54665147785,58976971577,63568588105,68454338329,73649107619,79168339363,85028048743,91244836679,97835903941,104819065429,112212764621,120036088189,128308780783,137051259983,146284631419,156030704059,166312005665,177151798417,188574094705,200603673089,213266094427,226587718171,240595718831
3,3,2,2,2,2,2;4,-10,-4,17,-8,1;17,56,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,145,775,2987,9145,23689,54125,112213,215353,388169,664291,1088335,1718081,2626849,3906073,5668073,8049025,11212129,15350975,20693107,27503785,36089945,46804357,60049981,76284521,96025177,119853595,148421015,182453617,222758065,270227249,325846225,390698353,465971633,552965239,653096251,767906585,899070121,1048400029,1217856293,1409553433,1625768425,1868948819,2141721055,2446898977,2787492545,3166716745,3588000697,4054996961,4571591041,5141911087,5770337795,6461514505,7220357497,8052066485,8962135309,9956362825,11040863993,12222081163,13506795559,14902138961,16415605585,18055064161,19828770209,21745378513,23813955793,26043993575,28445421259,31028619385,33804433097,36784185805,39979693045,43403276537,47067778441,50986575811,55173595247,59643327745,64410843745,69491808377,74902496905,80659810369,86781291425,93285140383,100190231443,107516129129,115283104921,123512154085,132225012701,141444174889,151192910233,161495281403,172376161975,183861254449,195977108465,208751139217,222211646065,236387831345,251309819377,267008675671,283516426331
3,3,3,3,2,2,2;-11,2,19,-2,-9,1;26,153,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;19,169,919,3571,10981,28519,65269,135469,260191,469261,803419,1316719,2079169,3179611,4728841,6862969,9747019,13578769,18592831,25064971,33316669,43719919,56702269,72752101,92424151,116345269,145220419,179838919,221080921,269924131,327450769,394854769,473449219,564674041,670103911,791456419,930600469,1089564919,1270547461,1475923741,1708256719,1970306269,2265039019,2595638431,2965515121,3378317419,3837942169,4348545769,4914555451,5540680801,6231925519,6993599419,7831330669,8751078271,9759144781,10862189269,12067240519,13381710469,14813407891,16370552311,18061788169,19896199219,21883323169,24033166561,26356219891,28863472969,31566430519,34477128019,37608147781,40972635271,44584315669,48457510669,52607155519,57048816301,61798707451,66873709519,72291387169,78070007419,84228558121,90786766681,97765119019,105184878769,113068106719,121437680491,130317314461,139731579919,149705925469,160266697669,171441161911,183257523541,195744949219,208933588519,222854595769,237540152131,253023487921,269338905169,286521800419,304608687769,323637222151,343646222851
3,3,3,3,2,2,2;-2,-4,15,-9,1;17,184,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;19,165,887,3427,10505,27231,62245,129085,247783,446689,764523,1252655,1977613,3023819,4496553,6525145,9266395,12908221,17673535,23824347,31666097,41552215,53888909,69140181,87833071,110563129,138000115,170893927,210080757,256489475,311148241,375191345,449866275,536541013,636711559,752009683,884210905,1035242703,1207192949,1402318573,1623054455,1872022545,2152041211,2466134815,2817543517,3209733307,3646406265,4131511049,4669253611,5264108141,5920828239,6644458315,7440345217,8314150087,9271860445,10319802501,11464653695,12713455465,14073626243,15552974679,17159713093,18902471155,20790309793,22832735329,25039713843,27421685765,29989580695,32754832451,35729394345,38925754687,42356952517,46036593565,49978866439,54198559041,58711075211,63532451599,68679374765,74169198507,80019961417,86250404665,92879990011,99928918045,107418146655,115369409723,123805236049,132748968503,142224783405,152257710133,162873650959,174099401113,185962669075,198492097095,211717281941,225668795875,240378207857,255878104977,272202114115,289384923829,307462306471,326471140531
3,3,3,3,2,2,2;-5,6,17,-2,-9,1;17,181,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;19,163,865,3313,10099,26083,59473,123121,236035,425107,727057,1190593,1878787,2871667,4269025,6193441,8793523,12247363,16766209,22598353,30033235,39405763,51100849,65558161,83277091,104821939,130827313,162003745,199143523,243126739,294927553,355620673,426388051,508525795,603451297,712710577,837985843,981103267,1144040977,1328937265,1538099011,1774010323,2039341393,2336957569,2669928643,3041538355,3455294113,3914936929,4424451571,4988076931,5610316609,6295949713,7050041875,7877956483,8785366129,9778264273,10862977123,12046175731,13334888305,14736512737,16258829347,17910013843,19698650497,21633745537,23724740755,25981527331,28414459873,31034370673,33852584179,36880931683,40131766225,43617977713,47353008259,51350867731,55626149521,60194046529,65070367363,70271552755,75814692193,81717540769,87998536243,94676816323,101772236161,109305386065,117297609427,125771020867,134748524593,144253832977,154311485347,164946866995,176186228401,188056704673,200586335203,213804083539,227739857473,242424529345,257889956563,274169002339,291295556641,309304557361
3,3,3,3,2,2,2;-6,-9,14,21,-4,-9,1;17,181,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;19,169,919,3571,10981,28519,65269,135469,260191,469261,803419,1316719,2079169,3179611,4728841,6862969,9747019,13578769,18592831,25064971,33316669,43719919,56702269,72752101,92424151,116345269,145220419,179838919,221080921,269924131,327450769,394854769,473449219,564674041,670103911,791456419,930600469,1089564919,1270547461,1475923741,1708256719,1970306269,2265039019,2595638431,2965515121,3378317419,3837942169,4348545769,4914555451,5540680801,6231925519,6993599419,7831330669,8751078271,9759144781,10862189269,12067240519,13381710469,14813407891,16370552311,18061788169,19896199219,21883323169,24033166561,26356219891,28863472969,31566430519,34477128019,37608147781,40972635271,44584315669,48457510669,52607155519,57048816301,61798707451,66873709519,72291387169,78070007419,84228558121,90786766681,97765119019,105184878769,113068106719,121437680491,130317314461,139731579919,149705925469,160266697669,171441161911,183257523541,195744949219,208933588519,222854595769,237540152131,253023487921,269338905169,286521800419,304608687769,323637222151,343646222851
3,3,3,3,2,2,2;-7,15,-9,1;26,153,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;19,163,857,3257,9875,25411,57793,119425,228643,411379,703033,1150553,1814723,2772659,4120513,5976385,8483443,11813251,16169305,21790777,28956467,37988963,49259009,63190081,80263171,101021779,126077113,156113497,191893987,234266195,284168321,342635393,410805715,489927523,581365849,686609593,807278803,945132163,1102074689,1280165633,1481626595,1708849843,1964406841,2251056985,2571756547,2929667827,3328168513,3770861249,4261583411,4804417091,5403699289,6064032313,6790294387,7587650467,8461563265,9417804481,10462466243,11601972755,12843092153,14192948569,15659034403,17249222803,18971780353,20835379969,22849114003,25022507555,27365531993,29888618681,32602672915,35519088067,38649759937,42007101313,45604056739,49454117491,53571336761,57970345049,62666365763,67675231027,73013397697,78697963585,84746683891,91177987843,98010995545,105265535033,112962159539,121122164963,129767607553,138921321793,148606938499,158848903123,169672494265,181103842393,193169948771,205898704595,219318910337,233460295297,248353537363,264030282979,280523167321,297865834681
